"ID";"AZWBranches";"Perioden";"TevredenMetWerk_1";"VeelTeHoog_3";"Goed_4";"VeelTeLaag_5";"TrotsOpDeOrganisatie_17"
"0";"B000125";"2019KW02";"    77.8";"    43.9";"    54.2";"     1.8";"       ."
"1";"B000125";"2019KW04";"    77.6";"    48.1";"    50.8";"     1.1";"    59.5"
"2";"B000125";"2020KW02";"";"";"";"";"       ."
"3";"B000125";"2020KW04";"    80.6";"    38.9";"    59.3";"     1.8";"       ."
"4";"B000125";"2021KW02";"    80.5";"    42.5";"    55.8";"     1.8";"    61.3"
"5";"B000125";"2021KW04";"    76.3";"    43.8";"    54.9";"     1.3";"    60.5"
"6";"B000125";"2022KW02";"    72.9";"    49.5";"    48.7";"     1.8";"       ."
"7";"B000125";"2022KW04";"    76.2";"    41.8";"    56.8";"     1.4";"    58.1"
"8";"B000125";"2023KW02";"    73.7";"    45.8";"    52.3";"     1.9";"       ."
"9";"B000125";"2023KW04";"    77.8";"    37.4";"    60.9";"     1.7";"    62.2"
"10";"B000126";"2019KW02";"    77.8";"    44.0";"    54.1";"     1.9";"       ."
"11";"B000126";"2019KW04";"    77.7";"    47.8";"    51.1";"     1.1";"    59.5"
"12";"B000126";"2020KW02";"";"";"";"";"       ."
"13";"B000126";"2020KW04";"    80.9";"    38.5";"    59.6";"     1.9";"       ."
"14";"B000126";"2021KW02";"    80.8";"    42.0";"    56.2";"     1.8";"    61.7"
"15";"B000126";"2021KW04";"    76.8";"    42.7";"    56.0";"     1.3";"    60.8"
"16";"B000126";"2022KW02";"    73.3";"    48.5";"    49.6";"     1.8";"       ."
"17";"B000126";"2022KW04";"    76.6";"    40.7";"    57.9";"     1.4";"    58.1"
"18";"B000126";"2023KW02";"    74.1";"    45.0";"    53.1";"     2.0";"       ."
"19";"B000126";"2023KW04";"    77.9";"    37.0";"    61.2";"     1.8";"    62.2"
"20";"422800 ";"2019KW02";"    78.4";"    42.1";"    54.6";"     3.3";"       ."
"21";"422800 ";"2019KW04";"    80.6";"    46.5";"    52.1";"     1.4";"    63.3"
"22";"422800 ";"2020KW02";"";"";"";"";"       ."
"23";"422800 ";"2020KW04";"    82.5";"    36.5";"    60.5";"     3.0";"       ."
"24";"422800 ";"2021KW02";"    80.7";"    44.5";"    53.1";"     2.4";"    66.6"
"25";"422800 ";"2021KW04";"    77.9";"    43.6";"    54.8";"     1.7";"    62.2"
"26";"422800 ";"2022KW02";"    77.1";"    45.3";"    52.1";"     2.6";"       ."
"27";"422800 ";"2022KW04";"    79.0";"    37.8";"    60.2";"     2.0";"    60.6"
"28";"422800 ";"2023KW02";"    78.4";"    44.1";"    52.9";"     3.0";"       ."
"29";"422800 ";"2023KW04";"    79.8";"    36.3";"    60.6";"     3.0";"    64.9"
"30";"B000114";"2019KW02";"    79.0";"    47.7";"    50.8";"     1.5";"       ."
