ID,AZWBranches,TevredenMetWerk_1,VeelTeHoog_3,Goed_4,VeelTeLaag_5,TrotsOpDeOrganisatie_17
1,0,77.6,48.1,50.8,1.1,59.5
4,0,80.5,42.5,55.8,1.8,61.3
5,0,76.3,43.8,54.9,1.3,60.5
7,0,76.2,41.8,56.8,1.4,58.1
9,0,77.8,37.4,60.9,1.7,62.2
11,1,77.7,47.8,51.1,1.1,59.5
14,1,80.8,42.0,56.2,1.8,61.7
15,1,76.8,42.7,56.0,1.3,60.8
17,1,76.6,40.7,57.9,1.4,58.1
19,1,77.9,37.0,61.2,1.8,62.2
21,422800,80.6,46.5,52.1,1.4,63.3
24,422800,80.7,44.5,53.1,2.4,66.6
25,422800,77.9,43.6,54.8,1.7,62.2
27,422800,79.0,37.8,60.2,2.0,60.6
29,422800,79.8,36.3,60.6,3.0,64.9
31,12,76.9,53.4,45.2,1.3,59.0
34,12,83.7,44.1,53.6,2.2,63.4
35,12,78.3,46.3,52.1,1.6,61.6
37,12,76.8,42.2,56.7,1.1,56.7
39,12,79.6,36.3,61.7,1.9,59.5
41,11,77.8,50.1,48.1,1.8,54.8
44,11,79.8,46.5,52.2,1.4,57.6
45,11,79.2,45.3,53.3,1.4,56.9
47,11,77.8,42.1,55.6,2.3,56.4
49,11,80.5,38.6,59.0,2.4,59.8
51,800040,84.1,46.3,52.1,1.5,65.9
54,800040,83.7,48.3,49.8,1.9,68.7
55,800040,80.3,46.5,52.7,0.7,69.3
57,800040,81.9,44.9,54.2,1.0,65.9
59,800040,81.0,44.7,54.1,1.2,74.6
61,800043,76.9,36.7,61.7,1.7,62.4
64,800043,81.7,32.3,65.7,2.0,66.6
65,800043,80.6,29.7,68.6,1.7,65.2
67,800043,77.7,32.4,65.7,1.9,61.0
69,800043,80.0,28.5,69.2,2.3,65.6
71,800028,77.8,49.4,50.2,0.4,58.3
74,800028,80.1,41.3,57.3,1.5,59.6
75,800028,73.4,46.3,52.7,1.0,58.1
77,800028,75.6,41.9,57.0,1.1,56.9
79,800028,74.6,38.4,60.3,1.3,59.6
81,7,75.7,47.9,51.0,1.1,56.3
84,7,79.3,44.5,54.1,1.4,57.1
85,7,75.2,41.2,57.5,1.3,58.0
87,7,73.2,43.8,55.1,1.2,54.5
89,7,75.9,39.8,58.6,1.6,59.5
91,427300,75.8,52.0,47.1,1.0,59.8
94,427300,77.7,47.5,51.3,1.2,57.4
95,427300,69.7,57.0,42.5,0.5,57.7
97,427300,70.9,54.6,44.3,1.1,57.4
99,427300,76.4,42.6,56.8,0.6,62.4
101,800041,78.1,52.3,46.6,1.1,62.2
104,800041,77.2,50.5,47.4,2.1,63.6
105,800041,73.4,48.9,50.0,1.1,60.6
107,800041,77.6,50.0,48.3,1.7,59.2
109,800041,78.2,40.0,59.0,1.1,66.0
111,4,78.7,39.3,59.1,1.6,67.3
114,4,77.9,36.4,60.6,3.0,63.9
115,4,81.4,34.7,63.4,1.8,69.7
117,4,79.6,34.3,63.9,1.8,66.6
119,4,82.3,35.7,61.5,2.8,75.1
121,3,76.6,53.5,46.2,0.3,56.3
124,3,78.9,46.6,52.2,1.2,55.8
125,3,71.0,51.0,48.1,0.8,54.8
127,3,73.1,46.9,51.9,1.2,53.4
129,3,73.1,43.0,55.7,1.3,55.9
131,426900,79.9,42.2,57.2,0.6,62.0
134,426900,82.3,31.8,66.3,1.9,66.2
135,426900,78.4,36.9,61.9,1.2,64.7
137,426900,80.3,32.0,67.2,0.8,64.0
139,426900,77.3,29.4,69.4,1.2,66.8
154,14,78.5,37.9,58.7,3.4,62.4
155,14,80.8,38.4,61.1,0.5,68.1
157,14,82.5,35.6,62.6,1.8,64.4
159,14,82.9,34.7,62.1,3.2,72.5
161,15,85.7,34.3,64.1,1.7,69.9
171,16,76.5,34.0,65.5,0.5,65.9
