0,1,2,3,4,5
1.0,0.0,48.1,50.8,1.1,59.5
4.0,0.0,42.5,55.8,1.8,61.3
5.0,0.0,43.8,54.9,1.3,60.5
7.0,0.0,41.8,56.8,1.4,58.1
9.0,0.0,37.4,60.9,1.7,62.2
11.0,1.0,47.8,51.1,1.1,59.5
14.0,1.0,42.0,56.2,1.8,61.7
15.0,1.0,42.7,56.0,1.3,60.8
17.0,1.0,40.7,57.9,1.4,58.1
19.0,1.0,37.0,61.2,1.8,62.2
21.0,422800.0,46.5,52.1,1.4,63.3
24.0,422800.0,44.5,53.1,2.4,66.6
25.0,422800.0,43.6,54.8,1.7,62.2
27.0,422800.0,37.8,60.2,2.0,60.6
29.0,422800.0,36.3,60.6,3.0,64.9
31.0,12.0,53.4,45.2,1.3,59.0
34.0,12.0,44.1,53.6,2.2,63.4
35.0,12.0,46.3,52.1,1.6,61.6
37.0,12.0,42.2,56.7,1.1,56.7
39.0,12.0,36.3,61.7,1.9,59.5
41.0,11.0,50.1,48.1,1.8,54.8
44.0,11.0,46.5,52.2,1.4,57.6
45.0,11.0,45.3,53.3,1.4,56.9
47.0,11.0,42.1,55.6,2.3,56.4
49.0,11.0,38.6,59.0,2.4,59.8
51.0,800040.0,46.3,52.1,1.5,65.9
54.0,800040.0,48.3,49.8,1.9,68.7
55.0,800040.0,46.5,52.7,0.7,69.3
57.0,800040.0,44.9,54.2,1.0,65.9
59.0,800040.0,44.7,54.1,1.2,74.6
61.0,800043.0,36.7,61.7,1.7,62.4
64.0,800043.0,32.3,65.7,2.0,66.6
65.0,800043.0,29.7,68.6,1.7,65.2
67.0,800043.0,32.4,65.7,1.9,61.0
69.0,800043.0,28.5,69.2,2.3,65.6
71.0,800028.0,49.4,50.2,0.4,58.3
74.0,800028.0,41.3,57.3,1.5,59.6
75.0,800028.0,46.3,52.7,1.0,58.1
77.0,800028.0,41.9,57.0,1.1,56.9
79.0,800028.0,38.4,60.3,1.3,59.6
81.0,7.0,47.9,51.0,1.1,56.3
84.0,7.0,44.5,54.1,1.4,57.1
85.0,7.0,41.2,57.5,1.3,58.0
87.0,7.0,43.8,55.1,1.2,54.5
89.0,7.0,39.8,58.6,1.6,59.5
91.0,427300.0,52.0,47.1,1.0,59.8
94.0,427300.0,47.5,51.3,1.2,57.4
95.0,427300.0,57.0,42.5,0.5,57.7
97.0,427300.0,54.6,44.3,1.1,57.4
99.0,427300.0,42.6,56.8,0.6,62.4
101.0,800041.0,52.3,46.6,1.1,62.2
104.0,800041.0,50.5,47.4,2.1,63.6
105.0,800041.0,48.9,50.0,1.1,60.6
107.0,800041.0,50.0,48.3,1.7,59.2
109.0,800041.0,40.0,59.0,1.1,66.0
111.0,4.0,39.3,59.1,1.6,67.3
114.0,4.0,36.4,60.6,3.0,63.9
115.0,4.0,34.7,63.4,1.8,69.7
117.0,4.0,34.3,63.9,1.8,66.6
119.0,4.0,35.7,61.5,2.8,75.1
121.0,3.0,53.5,46.2,0.3,56.3
124.0,3.0,46.6,52.2,1.2,55.8
125.0,3.0,51.0,48.1,0.8,54.8
127.0,3.0,46.9,51.9,1.2,53.4
129.0,3.0,43.0,55.7,1.3,55.9
131.0,426900.0,42.2,57.2,0.6,62.0
134.0,426900.0,31.8,66.3,1.9,66.2
135.0,426900.0,36.9,61.9,1.2,64.7
137.0,426900.0,32.0,67.2,0.8,64.0
139.0,426900.0,29.4,69.4,1.2,66.8
154.0,14.0,37.9,58.7,3.4,62.4
155.0,14.0,38.4,61.1,0.5,68.1
157.0,14.0,35.6,62.6,1.8,64.4
159.0,14.0,34.7,62.1,3.2,72.5
161.0,15.0,34.3,64.1,1.7,69.9
171.0,16.0,34.0,65.5,0.5,65.9
